traffic_level,road_condition,weather_severity,road_capacity,historical_delay,distance,demand_level,vehicle_load,previous_disruptions,disruption_prob,disruption
0.672,0.711,0.8,0.419,41.8,42.5,0.325,0.405,3,0.998,1
0.141,0.426,0.555,0.984,4.0,79.0,0.832,0.596,3,0.812,1
0.437,0.634,0.826,0.677,20.4,45.2,0.251,0.43,0,0.95,1
0.663,0.109,0.631,0.768,32.2,42.5,0.355,0.555,1,0.995,1
0.553,0.672,0.784,0.206,40.4,50.0,0.725,0.39,3,0.998,1
0.871,0.922,0.599,0.615,22.5,59.2,0.884,0.62,1,0.959,1
0.693,0.651,0.414,0.23,46.0,10.9,0.402,0.49,3,0.997,1
0.247,0.886,0.958,0.655,18.1,70.2,0.462,0.546,0,0.899,1
0.164,0.752,0.541,0.937,7.4,38.1,0.63,0.366,1,0.495,0
0.678,0.209,0.605,0.975,22.7,8.0,0.369,0.6,3,0.99,1
0.124,0.912,0.22,0.632,8.1,67.3,0.849,0.988,0,0.274,0
0.627,0.16,0.626,0.567,27.0,33.3,0.819,0.53,3,0.998,1
0.946,0.581,0.572,0.956,24.5,10.3,0.316,0.914,0,0.952,1
0.618,0.228,0.185,0.739,18.0,54.6,0.571,0.89,1,0.936,1
0.449,0.111,0.06,0.252,36.4,75.1,0.82,0.966,2,0.995,1
0.679,0.48,0.604,0.573,19.1,75.7,0.47,0.853,0,0.977,1
0.512,0.366,0.764,0.392,16.8,81.5,0.706,0.762,0,0.99,1
0.591,0.537,0.523,0.576,23.8,74.0,0.24,0.9,0,0.965,1
0.947,0.619,0.227,0.564,34.6,2.2,0.687,0.353,1,0.972,1
0.447,0.139,0.667,0.666,32.8,33.6,0.322,0.624,2,0.996,1
0.965,0.211,0.08,0.485,33.0,69.9,0.864,0.992,1,0.993,1
0.915,0.603,0.442,0.331,46.3,32.4,0.484,0.839,1,0.997,1
0.276,0.409,0.163,0.603,21.4,51.9,0.425,0.973,0,0.814,1
0.162,0.756,0.184,0.864,5.9,52.3,0.873,0.846,0,0.185,0
0.191,0.687,0.202,0.731,7.3,32.3,0.24,0.912,2,0.549,1
0.116,0.861,0.387,0.471,11.5,77.1,0.517,0.795,2,0.755,1
0.185,0.723,0.051,0.948,12.2,43.8,0.496,0.832,4,0.463,1
0.715,0.487,0.398,0.93,38.3,40.6,0.428,0.666,0,0.945,1
0.164,0.706,0.512,0.367,17.1,84.8,0.929,0.947,5,0.984,1
0.387,0.348,0.483,0.232,17.0,43.0,0.801,0.878,3,0.995,1
0.86,0.376,0.383,0.793,24.3,16.8,0.251,0.891,2,0.983,1
0.121,0.81,0.839,0.862,6.9,44.6,0.772,0.771,3,0.857,1
0.833,0.502,0.145,0.974,33.7,69.6,0.622,0.513,1,0.904,1
0.354,0.819,0.506,0.912,17.1,66.5,0.921,0.325,1,0.662,1
0.206,0.84,0.062,0.68,16.0,67.5,0.45,0.955,2,0.477,0
0.727,0.872,0.071,0.624,21.0,60.8,0.659,0.71,3,0.864,1
0.666,0.925,0.574,0.222,33.0,23.1,0.601,0.509,1,0.984,1
0.89,0.488,0.566,0.397,51.0,73.6,0.592,0.404,2,0.999,1
0.762,0.387,0.878,0.568,23.5,76.2,0.565,0.881,2,0.998,1
0.823,0.624,0.558,0.703,30.7,18.1,0.365,0.886,1,0.983,1
0.354,0.434,0.96,0.646,64.5,12.8,0.805,0.87,3,0.999,1
0.26,0.641,0.049,0.794,12.6,83.0,0.561,0.752,3,0.591,0
0.776,0.735,0.098,0.424,32.9,74.1,0.967,0.556,3,0.972,1
0.826,0.72,0.044,0.652,22.1,76.1,0.409,0.513,5,0.958,0
0.991,0.437,0.185,0.271,38.8,75.6,0.746,0.306,2,0.995,1
0.471,0.25,0.541,0.531,13.2,47.0,0.953,0.884,0,0.972,1
0.435,0.487,0.646,0.8,58.9,55.7,0.731,0.361,2,0.994,1
0.799,0.228,0.046,0.755,38.8,47.3,0.897,0.742,1,0.973,1
0.407,0.901,0.946,0.993,33.4,6.3,0.862,0.653,0,0.91,1
0.938,0.411,0.842,0.422,41.7,63.9,0.488,0.669,2,1.0,1
0.873,0.239,0.297,0.599,35.2,43.9,0.68,0.949,2,0.996,1
0.486,0.123,0.077,0.464,21.1,55.8,0.325,0.322,2,0.965,1
0.776,0.681,0.17,0.552,48.7,43.7,0.628,0.841,3,0.99,1
0.779,0.673,0.127,0.886,66.6,42.8,0.384,0.336,0,0.952,1
0.193,0.407,0.123,0.747,15.2,16.3,0.795,0.327,3,0.783,1
0.912,0.165,0.519,0.906,63.0,25.1,0.622,0.601,0,0.998,1
0.555,0.469,0.246,0.363,27.0,15.2,0.529,0.344,1,0.961,1
0.844,0.38,0.358,0.899,32.7,18.2,0.415,0.852,3,0.988,1
0.388,0.709,0.99,0.248,18.8,82.8,0.999,0.671,0,0.989,1
0.906,0.645,0.684,0.911,26.2,14.7,0.257,0.32,1,0.975,1
0.45,0.428,0.949,0.463,11.3,24.3,0.235,0.328,0,0.983,1
0.11,0.296,0.143,0.452,6.9,51.0,0.374,0.729,0,0.716,1
0.915,0.989,0.382,0.61,33.6,52.6,0.977,0.864,1,0.954,1
0.182,0.509,0.555,0.953,11.7,14.8,0.983,0.606,3,0.858,1
0.387,0.719,0.077,0.238,18.6,67.9,0.724,0.688,1,0.848,0
0.955,0.226,0.004,0.482,83.1,67.2,0.904,0.86,1,0.999,1
0.956,0.537,0.67,0.885,30.4,21.7,0.371,0.727,4,0.996,1
0.616,0.125,0.642,0.517,24.4,26.0,0.978,0.457,2,0.997,1
0.669,0.555,0.411,0.359,18.9,79.9,0.314,0.729,1,0.977,1
0.504,0.968,0.49,0.54,13.3,70.5,0.281,0.74,1,0.827,0
0.364,0.446,0.415,0.508,31.5,59.9,0.29,0.814,0,0.96,1
0.396,0.135,0.024,0.932,22.6,8.8,0.659,0.735,3,0.901,1
0.705,0.128,0.335,0.81,39.1,36.7,0.825,0.978,1,0.99,1
0.777,0.449,0.177,0.604,21.9,48.4,0.493,0.438,4,0.981,1
0.812,0.244,0.098,0.991,33.0,17.6,0.982,0.966,2,0.958,1
0.811,0.121,0.957,0.572,24.7,39.2,0.548,0.677,2,0.999,1
0.182,0.781,0.599,0.247,8.4,51.9,0.32,0.77,3,0.961,1
0.545,0.513,0.729,0.41,13.8,29.2,0.573,0.37,1,0.982,1
0.152,0.36,0.315,0.549,5.9,66.8,0.743,0.566,3,0.899,1
0.595,0.91,0.393,0.326,20.4,71.8,0.866,0.839,0,0.913,1
0.497,0.205,0.237,0.958,14.3,28.9,0.567,0.795,6,0.976,1
0.899,0.96,0.097,0.813,86.4,71.6,0.675,0.328,3,0.991,1
0.416,0.383,0.179,0.415,15.9,10.6,0.414,0.683,0,0.889,1
0.205,0.9,0.798,0.673,7.2,71.5,0.717,0.362,1,0.768,0
0.229,0.643,0.678,0.777,9.0,14.7,0.989,0.997,1,0.838,1
0.785,0.844,0.547,0.953,32.9,8.9,0.239,0.928,1,0.928,1
0.656,0.986,0.475,0.905,17.4,55.3,0.909,0.315,2,0.778,1
0.191,0.36,0.922,0.612,34.5,41.2,0.65,0.901,0,0.991,1
0.176,0.965,0.073,0.82,53.2,77.4,0.402,0.944,1,0.617,1
0.731,0.451,0.281,0.65,22.5,32.1,0.964,0.547,2,0.967,1
0.165,0.447,0.35,0.642,13.1,25.8,0.587,0.804,1,0.818,1
0.84,0.406,0.782,0.292,21.3,43.6,0.465,0.609,5,1.0,1
0.736,0.587,0.993,0.301,33.7,39.8,0.345,0.759,4,1.0,1
0.173,0.239,0.241,0.624,12.3,30.6,0.396,0.538,2,0.884,1
0.176,0.598,0.874,0.415,9.1,59.6,0.866,0.526,1,0.961,1
0.988,0.588,0.831,0.217,28.2,65.0,0.692,0.597,3,0.999,1
0.437,0.786,0.225,0.778,26.8,72.8,0.931,0.402,2,0.776,0
0.434,0.85,0.399,0.226,18.9,82.7,0.386,0.882,2,0.963,1
0.832,0.496,0.41,0.676,23.8,24.1,0.297,0.544,2,0.981,1
0.953,0.372,0.978,0.631,41.3,61.4,0.205,0.58,6,1.0,1
0.987,0.333,0.181,0.975,37.2,34.7,0.606,0.926,1,0.969,1
0.778,0.275,0.799,0.587,48.8,58.2,0.999,0.648,0,0.999,1
0.439,0.152,0.334,0.251,12.8,41.5,0.756,0.681,0,0.976,1
0.175,0.408,0.731,0.641,27.5,84.5,0.447,0.97,0,0.967,1
0.799,0.343,0.42,0.873,36.8,62.5,0.901,0.921,2,0.989,1
0.603,0.97,0.578,0.997,16.9,81.1,0.825,0.419,4,0.888,1
0.482,0.602,0.833,0.544,29.8,71.3,0.212,0.631,1,0.99,1
0.916,0.413,0.804,0.456,31.6,76.9,0.853,0.98,0,0.998,1
0.2,0.622,0.866,0.925,48.5,69.6,0.44,0.561,2,0.984,1
0.543,0.225,0.06,0.353,15.9,40.1,0.32,0.56,0,0.926,0
0.11,0.5,0.692,0.692,18.2,22.9,0.381,0.437,0,0.873,1
0.522,0.664,0.14,0.525,20.3,32.7,0.575,0.38,2,0.863,1
0.151,0.54,0.416,0.233,50.9,3.7,0.54,0.818,0,0.986,1
0.207,0.462,0.549,0.478,11.2,45.5,0.431,0.839,1,0.938,1
0.206,0.994,0.403,0.412,54.3,43.9,0.338,0.978,1,0.957,0
0.684,0.892,0.52,0.749,51.9,45.6,0.81,0.841,3,0.989,1
0.771,0.661,0.997,0.959,24.0,82.8,0.992,0.47,1,0.984,1
0.625,0.612,0.135,0.414,40.0,77.7,0.822,0.328,2,0.97,1
0.966,0.659,0.675,0.849,105.6,15.4,0.437,0.99,3,1.0,1
0.437,0.281,0.396,0.244,15.3,32.6,0.396,0.538,1,0.981,1
0.357,0.456,0.133,0.63,17.5,37.2,0.374,0.518,2,0.845,1
0.882,0.136,0.159,0.256,33.1,31.9,0.309,0.934,2,0.998,1
0.301,0.528,0.949,0.947,12.8,68.3,0.641,0.71,0,0.908,1
0.967,0.589,0.88,0.813,24.4,45.5,0.684,0.45,4,0.998,1
0.111,0.305,0.907,0.726,6.5,49.5,0.764,0.922,3,0.982,1
0.973,0.968,0.992,0.859,29.3,72.8,0.744,0.995,3,0.994,1
0.139,0.919,0.208,0.718,12.3,68.9,0.434,0.361,2,0.366,1
0.902,0.75,0.355,0.975,25.4,13.0,0.464,0.904,3,0.943,0
0.575,0.58,0.669,0.771,45.4,61.3,0.745,0.573,1,0.987,1
0.994,0.883,0.484,0.94,43.1,38.1,0.48,0.667,1,0.963,1
0.166,0.218,0.418,0.614,5.5,26.5,0.37,0.94,1,0.902,1
0.598,0.811,0.358,0.294,30.7,6.2,0.499,0.981,3,0.989,1
0.972,0.212,0.594,0.623,40.2,42.4,0.418,0.484,2,0.999,1
0.571,0.815,0.576,0.301,61.2,31.5,0.271,0.449,2,0.997,1
0.666,0.348,0.161,0.674,16.7,22.9,0.864,0.356,4,0.969,1
0.726,0.889,0.472,0.586,22.4,59.7,0.882,0.693,3,0.967,1
0.509,0.95,0.553,0.698,52.2,65.9,0.376,0.31,1,0.957,1
0.665,0.234,0.57,0.208,57.0,22.3,0.252,0.588,1,0.999,1
0.626,0.516,0.21,0.356,34.8,6.1,0.791,0.351,2,0.98,1
0.911,0.983,0.742,0.593,44.5,72.4,0.369,0.584,1,0.991,1
0.141,0.535,0.025,0.96,5.0,2.8,0.515,0.328,1,0.195,0
0.353,0.877,0.355,0.507,19.6,79.8,0.251,0.885,1,0.82,1
0.955,0.63,0.78,0.539,27.8,54.1,0.381,0.447,0,0.992,1
0.901,0.438,0.564,0.772,25.5,28.7,0.834,0.53,1,0.986,1
0.51,0.357,0.261,0.683,37.7,22.5,0.844,0.909,2,0.98,1
0.658,0.283,0.695,0.439,18.6,2.7,0.366,0.822,2,0.997,1
0.35,0.786,0.567,0.529,18.2,21.5,0.469,0.453,2,0.923,1
0.269,0.448,0.796,0.374,48.6,13.4,0.307,0.35,1,0.996,1
0.517,0.56,0.735,0.973,16.0,52.8,0.259,0.801,4,0.975,1
0.418,0.543,0.61,0.305,67.7,15.8,0.994,0.573,2,0.999,1
0.625,0.62,0.488,0.497,93.1,45.9,0.724,0.836,1,0.999,1
0.17,0.879,0.133,0.221,16.4,51.0,0.634,0.612,0,0.586,0
0.977,0.983,0.261,0.377,27.2,26.7,0.812,0.542,1,0.949,1
0.988,0.467,0.419,0.824,30.4,4.9,0.872,0.616,0,0.973,1
0.728,0.845,0.599,0.361,26.5,5.1,0.845,0.824,1,0.985,1
0.582,0.788,0.514,0.264,20.1,4.2,0.213,0.932,1,0.978,1
0.379,0.616,0.288,0.58,14.4,63.3,0.349,0.335,3,0.889,0
0.832,0.96,0.006,0.208,74.6,28.4,0.724,0.667,2,0.994,1
0.716,0.28,0.496,0.268,20.4,68.1,0.501,0.323,2,0.995,1
0.246,0.198,0.286,0.846,26.0,37.8,0.986,0.628,0,0.855,0
0.92,0.869,0.735,0.817,23.0,39.6,0.732,0.92,1,0.969,1
0.84,0.495,0.024,0.932,34.6,44.6,0.965,0.553,2,0.918,1
0.955,0.862,0.585,0.884,61.0,61.2,0.361,0.953,1,0.991,1
0.753,0.904,0.941,0.747,23.9,24.7,0.891,0.741,1,0.979,1
0.652,0.156,0.174,0.242,19.4,12.1,0.457,0.954,1,0.991,1
0.476,0.895,0.472,0.826,27.7,48.2,0.992,0.83,1,0.819,1
0.939,0.503,0.091,0.876,42.2,29.1,0.326,0.372,1,0.952,1
0.879,0.559,0.626,0.839,39.5,38.7,0.613,0.462,1,0.989,1
0.141,0.664,0.551,0.607,9.3,55.7,0.834,0.576,0,0.706,0
0.124,0.934,0.407,0.386,7.5,43.0,0.546,0.419,3,0.754,1
0.439,0.117,0.521,0.876,57.8,53.5,0.574,0.646,2,0.996,1
0.829,0.529,0.897,0.782,59.3,47.2,0.989,0.63,2,0.999,1
0.989,0.719,0.196,0.985,33.9,63.4,0.54,0.969,3,0.95,1
0.235,0.75,0.023,0.325,34.0,60.6,0.683,0.604,1,0.814,1
0.635,0.723,0.862,0.381,24.9,46.3,0.244,0.85,1,0.994,1
0.443,0.221,0.577,0.369,19.4,58.3,0.874,0.959,3,0.997,1
0.973,0.369,0.891,0.834,26.9,74.5,0.719,0.914,1,0.997,1
0.858,0.423,0.597,0.35,29.8,37.9,0.523,0.446,5,0.999,1
0.854,0.824,0.81,0.253,32.9,36.3,0.213,0.647,0,0.995,1
0.522,0.351,0.43,0.999,13.4,65.4,0.673,0.543,1,0.862,1
0.473,0.29,0.75,0.22,20.6,50.4,0.21,0.58,1,0.996,1
0.346,0.962,0.913,0.868,31.5,7.9,0.201,0.553,2,0.949,1
0.151,0.108,0.572,0.492,20.9,76.0,0.693,0.878,2,0.99,1
0.878,0.998,0.181,0.873,37.1,4.6,0.351,0.616,1,0.811,1
0.832,0.709,0.269,0.644,56.8,64.1,0.354,0.667,1,0.985,1
1.0,0.846,0.199,0.921,25.3,65.0,0.723,0.988,3,0.916,1
0.997,0.365,0.247,0.941,37.1,81.1,0.243,0.342,1,0.975,1
0.6,0.113,0.306,0.207,38.2,6.5,0.451,0.642,5,0.999,1
0.792,0.764,0.555,0.26,31.5,51.5,0.32,0.842,1,0.993,1
0.95,0.851,0.588,0.4,29.6,37.5,0.664,0.406,3,0.994,1
0.865,0.766,0.426,0.735,23.8,29.4,0.729,0.728,3,0.972,1
0.323,0.229,0.615,0.911,40.8,9.5,0.777,0.468,1,0.981,1
0.505,0.778,0.082,0.568,22.2,48.7,0.404,0.907,1,0.764,0
0.216,0.792,0.088,0.686,37.0,41.8,0.271,0.529,1,0.645,1
0.959,0.693,0.172,0.351,37.2,10.7,0.263,0.53,1,0.982,1
0.646,0.79,0.518,0.844,33.0,52.8,0.541,0.719,2,0.952,1
0.306,0.861,0.214,0.974,32.1,63.3,0.957,0.428,3,0.691,0
0.705,0.652,0.283,0.415,33.8,65.7,0.374,0.499,2,0.98,1
0.656,0.18,0.4,0.596,24.0,77.1,0.405,0.592,0,0.98,1
0.422,0.539,0.812,0.269,21.4,36.0,0.281,0.548,0,0.988,1
0.202,0.17,0.014,0.647,29.4,81.1,0.684,0.667,0,0.828,0
0.704,0.467,0.649,0.602,24.6,73.8,0.744,0.72,4,0.997,1
0.568,0.466,0.669,0.316,21.6,26.6,0.714,0.697,0,0.989,1
0.795,0.159,0.799,0.554,21.4,15.2,0.889,0.758,0,0.997,1
0.568,0.414,0.933,0.467,51.1,38.1,0.589,0.515,1,0.999,1
0.867,0.2,0.02,0.617,23.1,35.4,0.308,0.388,3,0.982,1
0.597,0.827,0.154,0.669,30.6,49.8,0.432,0.833,2,0.876,1
0.605,0.953,0.886,0.207,23.1,50.4,0.73,0.896,1,0.993,1
0.889,0.165,0.459,0.809,30.0,64.2,0.69,0.48,0,0.987,1
0.463,0.96,0.565,0.77,28.6,44.3,0.625,0.585,1,0.852,1
0.221,0.57,0.663,0.493,6.6,10.7,0.746,0.649,2,0.942,1
0.126,0.37,0.679,0.242,16.7,73.2,0.71,0.673,1,0.984,1
0.78,0.169,0.932,0.804,41.7,27.7,0.905,0.762,1,0.999,1
0.658,0.551,0.997,0.964,42.9,82.6,0.669,0.329,2,0.996,1
0.734,0.815,0.72,0.392,21.1,11.8,0.823,0.805,1,0.987,1
0.292,0.736,0.287,0.459,41.4,81.5,0.399,0.343,1,0.914,1
0.223,0.145,0.88,0.347,21.6,9.6,0.743,0.628,0,0.995,1
0.113,0.166,0.049,0.662,34.9,21.2,0.922,0.879,2,0.932,1
0.416,0.463,0.231,0.324,20.4,5.9,0.509,0.616,0,0.921,1
0.631,0.366,0.897,0.485,27.5,60.5,0.823,0.404,3,0.999,1
0.453,0.309,0.256,0.758,49.0,72.6,0.78,0.99,1,0.978,1
0.494,0.353,0.221,0.648,46.9,38.0,0.248,0.922,1,0.98,1
0.914,0.823,0.138,0.509,31.8,79.1,0.665,0.84,2,0.964,1
0.413,0.936,0.859,0.536,15.1,51.0,0.304,0.588,0,0.911,1
0.563,0.465,0.5,0.65,21.6,54.3,0.974,0.429,3,0.981,1
0.805,0.915,0.675,0.205,27.5,72.2,0.849,0.959,2,0.996,1
0.457,0.389,0.239,0.263,16.5,26.6,0.288,0.673,4,0.988,1
0.66,0.529,0.758,0.905,21.2,31.4,0.297,0.897,1,0.971,1
0.876,0.303,0.76,0.262,51.5,77.2,0.676,0.539,1,1.0,1
0.955,0.676,0.313,0.765,25.0,76.8,0.476,0.535,2,0.959,1
0.232,0.981,0.411,0.936,22.8,83.0,0.228,0.99,2,0.559,1
0.934,0.643,0.21,0.417,26.2,76.9,0.633,0.665,1,0.973,1
0.543,0.422,0.977,0.496,19.9,12.6,0.51,0.398,2,0.996,1
0.332,0.683,0.646,0.655,9.3,70.4,0.281,0.454,1,0.862,1
0.513,0.211,0.935,0.905,17.6,36.0,0.842,0.637,1,0.989,1
0.982,0.9,0.303,0.954,46.5,84.2,0.932,0.33,1,0.935,0
0.543,0.553,0.782,0.792,46.0,41.2,0.805,0.624,4,0.997,1
0.396,0.504,0.766,0.269,13.7,48.0,0.858,0.593,3,0.994,1
0.67,0.627,0.692,0.735,26.1,46.0,0.373,0.846,2,0.985,1
0.316,0.662,0.966,0.528,17.4,28.7,0.411,0.548,4,0.993,1
0.168,0.165,0.394,0.577,35.2,8.2,0.367,0.988,2,0.987,1
0.216,0.714,0.131,0.239,27.0,76.3,0.812,0.427,3,0.918,1
0.215,0.318,0.672,0.353,16.2,68.6,0.958,0.714,3,0.993,1
0.237,0.743,0.729,0.832,22.6,13.6,0.773,0.363,3,0.935,1
0.225,0.84,0.575,0.563,33.8,66.5,0.905,0.814,4,0.977,1
0.677,0.824,0.207,0.441,17.1,53.9,0.711,0.996,1,0.896,0
0.264,0.597,0.504,0.507,14.3,36.0,0.51,0.873,3,0.96,1
0.411,0.568,0.312,0.884,45.9,23.1,0.541,0.689,1,0.922,1
0.907,0.229,0.427,0.799,42.9,73.4,0.26,0.639,4,0.998,1
0.527,0.798,0.645,0.418,24.9,60.1,0.225,0.885,0,0.967,1
0.701,0.344,0.745,0.294,28.8,47.5,0.756,0.955,4,1.0,1
0.255,0.547,0.232,0.402,12.8,52.6,0.551,0.992,4,0.958,0
0.273,0.356,0.405,0.937,17.9,9.6,0.642,0.578,2,0.871,0
0.137,0.22,0.269,0.665,19.4,41.3,0.646,0.994,0,0.853,1
0.252,0.667,0.199,0.627,14.4,18.1,0.422,0.409,0,0.506,0
0.351,0.149,0.783,0.677,27.6,19.3,0.581,0.477,2,0.995,1
0.259,0.774,0.909,0.493,36.1,56.9,0.577,0.362,0,0.974,1
0.18,0.386,0.37,0.846,7.0,77.6,0.511,0.49,2,0.761,1
0.209,0.1,0.751,0.619,14.2,35.5,0.857,0.838,2,0.99,1
0.515,0.56,0.897,0.293,20.7,19.2,0.561,0.897,1,0.996,1
0.286,0.142,0.846,0.303,24.6,55.8,0.683,0.845,1,0.998,1
0.428,0.349,0.183,0.629,15.0,74.3,0.916,0.742,0,0.827,1
0.553,0.736,0.956,0.949,29.2,64.1,0.893,0.66,2,0.981,1
0.721,0.156,0.377,0.447,49.5,74.1,0.912,0.796,0,0.997,1
0.135,0.855,0.339,0.896,11.5,46.5,0.416,0.574,2,0.409,0
0.819,0.103,0.062,0.811,56.8,64.4,0.228,0.889,1,0.992,1
0.665,0.322,0.486,0.398,91.4,13.6,0.409,0.774,1,1.0,1
0.174,0.767,0.109,0.229,6.0,30.9,0.423,0.788,1,0.661,0
0.886,0.385,0.249,0.281,26.1,34.3,0.927,0.675,1,0.992,1
0.929,0.192,0.317,0.783,68.3,44.4,0.719,0.92,1,0.998,1
0.155,0.424,0.809,0.36,51.5,79.1,0.265,0.476,2,0.998,1
0.349,0.343,0.875,0.497,10.3,74.6,0.308,0.567,2,0.991,1
0.826,0.858,0.302,0.601,20.9,13.2,0.325,0.844,2,0.937,1
0.773,0.382,0.859,0.78,22.0,16.3,0.704,0.645,0,0.989,1
0.266,0.81,0.857,0.291,89.5,31.7,0.788,0.922,4,1.0,1
0.288,0.903,0.765,0.525,10.2,26.1,0.888,0.542,3,0.939,1
0.433,0.49,0.147,0.588,21.3,53.0,0.953,0.559,2,0.897,1
0.536,0.919,0.69,0.633,41.7,76.9,0.361,0.922,2,0.984,1
0.656,0.44,0.945,0.855,16.7,81.9,0.448,0.625,0,0.98,1
0.432,0.968,0.683,0.337,24.7,56.2,0.392,0.661,0,0.942,1
0.516,0.18,0.332,0.846,17.8,71.6,0.487,0.533,2,0.954,1
0.773,0.718,0.501,0.754,49.1,45.6,0.932,0.494,1,0.983,1
0.133,0.544,0.646,0.645,8.3,19.3,0.66,0.759,0,0.816,1
0.327,0.449,0.511,0.76,25.6,45.5,0.791,0.384,2,0.951,1
0.742,0.669,0.12,0.53,35.4,48.1,0.592,0.915,3,0.979,1
0.906,0.733,0.312,0.311,26.4,63.6,0.223,0.845,1,0.984,1
0.561,0.104,0.802,0.733,14.5,20.3,0.251,0.434,1,0.991,1
0.579,0.25,0.861,0.62,22.4,32.6,0.63,0.786,1,0.996,0
0.196,0.742,0.137,0.711,10.0,32.2,0.775,0.722,1,0.386,0
0.503,0.7,0.952,0.47,37.4,81.6,0.372,0.429,2,0.996,1
0.579,0.969,0.329,0.925,38.7,38.8,0.778,0.491,3,0.884,1
0.318,0.785,0.662,0.67,17.1,64.7,0.849,0.586,2,0.914,1
0.342,0.956,0.752,0.268,22.5,64.3,0.53,0.789,1,0.97,1
0.44,0.732,0.812,0.56,24.9,24.0,0.797,0.747,2,0.985,1
0.118,0.368,0.946,0.805,29.3,49.5,0.523,0.673,2,0.987,1
0.39,0.195,0.313,0.835,18.0,76.2,0.743,0.838,0,0.873,1
0.29,0.804,0.859,0.596,12.1,41.4,0.811,0.831,1,0.933,1
0.395,0.68,0.132,0.916,14.5,80.4,0.994,0.733,3,0.644,0
0.208,0.143,0.705,0.414,16.7,19.8,0.476,0.851,2,0.994,1
0.901,0.424,0.742,0.528,31.5,8.2,0.529,0.534,3,0.999,1
0.634,0.961,0.678,0.919,24.6,76.0,0.332,0.917,2,0.915,1
0.711,0.55,0.252,0.917,19.2,72.4,0.363,0.73,0,0.773,1
0.81,0.489,0.873,0.749,39.3,84.4,0.755,0.876,1,0.997,0
0.549,0.512,0.169,0.887,17.3,58.4,0.934,0.682,4,0.903,1
0.178,0.288,0.054,0.271,7.7,79.7,0.516,0.453,2,0.871,0
0.583,0.432,0.717,0.892,22.6,70.6,0.344,0.68,2,0.981,1
0.628,0.433,0.475,0.456,19.6,72.1,0.428,0.56,1,0.979,1
0.771,0.147,0.849,0.343,32.4,49.2,0.564,0.788,0,0.999,1
0.488,0.791,0.383,0.391,19.2,33.7,0.433,0.633,3,0.959,1
0.215,0.475,0.168,0.534,14.3,79.6,0.387,0.885,1,0.797,1
0.355,0.84,0.836,0.401,20.4,37.9,0.789,0.775,1,0.974,1
0.427,0.865,0.549,0.456,14.1,46.7,0.206,0.779,2,0.932,1
0.681,0.291,0.189,0.308,19.6,39.0,0.631,0.452,0,0.965,1
0.614,0.692,0.72,0.437,47.2,48.9,0.835,0.989,3,0.999,1
0.42,0.525,0.511,0.658,19.0,41.1,0.413,0.889,0,0.914,1
0.988,0.892,0.604,0.553,32.7,6.0,0.683,0.852,2,0.992,1
0.645,0.294,0.461,0.477,16.7,75.2,0.735,0.531,1,0.983,1
0.314,0.71,0.829,0.797,18.2,38.9,0.724,0.675,2,0.947,1
0.192,0.647,0.83,0.915,16.9,50.9,0.557,0.396,2,0.91,1
0.238,0.366,0.709,0.805,18.2,13.6,0.477,0.677,1,0.947,1
0.321,0.223,0.105,0.466,26.4,2.3,0.869,0.402,0,0.902,1
0.245,0.686,0.839,0.796,9.0,22.4,0.807,0.687,2,0.914,1
0.268,0.765,0.671,0.322,11.1,60.5,0.457,0.754,0,0.917,1
0.357,0.384,0.697,0.304,33.9,10.2,0.282,0.573,2,0.997,1
0.256,0.68,0.363,0.477,50.5,77.4,0.257,0.649,2,0.977,1
0.907,0.456,0.879,0.846,24.9,19.8,0.275,0.913,2,0.996,1
0.172,0.742,0.725,0.397,14.6,19.0,0.666,0.376,2,0.944,1
0.572,0.279,0.113,0.251,17.9,17.1,0.241,0.854,0,0.966,1
0.469,0.901,0.408,0.305,12.7,3.2,0.47,0.42,0,0.795,1
0.984,0.359,0.886,0.887,30.5,66.1,0.803,0.326,2,0.998,1
0.201,0.431,0.047,0.707,7.3,74.6,0.435,0.43,1,0.479,0
0.458,0.152,0.961,0.403,30.0,53.0,0.811,0.836,1,0.999,1
0.973,0.2,0.679,0.644,35.8,17.6,0.796,0.584,3,0.999,1
0.879,0.564,0.631,0.622,24.3,25.7,0.397,0.911,2,0.993,1
0.835,0.341,0.271,0.724,21.0,41.5,0.783,0.667,3,0.984,0
0.332,0.852,0.249,0.387,33.1,81.2,0.798,0.316,2,0.892,1
0.254,0.113,0.942,0.892,9.3,22.5,0.518,0.802,2,0.985,1
0.702,0.441,0.298,0.447,31.5,62.7,0.368,0.377,1,0.98,1
0.936,0.404,0.776,0.755,29.6,38.5,0.617,0.853,0,0.994,1
0.601,0.117,0.393,0.213,28.2,26.7,0.937,0.418,1,0.996,1
0.614,0.212,0.139,0.498,21.1,39.8,0.712,0.542,2,0.975,1
0.352,0.472,0.011,0.481,10.2,7.9,0.338,0.833,3,0.869,1
0.793,0.544,0.544,0.635,23.6,68.3,0.746,0.968,2,0.989,1
0.268,0.464,0.976,0.258,9.8,22.2,0.542,0.56,3,0.996,1
0.391,0.578,0.369,0.832,18.2,62.2,0.673,0.881,1,0.803,1
0.483,0.636,0.357,0.374,28.2,7.7,0.787,0.434,1,0.953,1
0.557,0.109,0.344,0.742,18.5,81.3,0.612,0.865,1,0.969,1
0.318,0.518,0.521,0.843,8.1,18.0,0.851,0.76,2,0.854,0
